Key,Value
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0092,82.62285307341814
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0093,83.29854232341052
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0094,84.01836834841967
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0095,84.9884629983902
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0096,86.98835752338171
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0097,87.90789397341013
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0098,88.76812247341871
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0099,89.68793612337113
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0100,90.31803797340393
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0101,91.0483415234089
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0102,91.90809882342815
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0103,92.81805397337675
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0104,93.72800912338495
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0105,94.4681341984272
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0106,96.57874489837884
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0107,97.39816282337904
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0108,98.31875257337093
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0109,99.068366548419
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0110,100.06842467337847
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0111,100.74805914837123
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0112,101.42811864840985
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0113,102.03848507338762
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0114,102.71544934839011
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0115,301.7372197234034
013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) timestamp #0116,302.35970829838516
